Label,# Samples,Average,Median,90% Line,Min,Max,Error %,Throughput,KB/sec
login,100,3062,3245,3923,173,3952,0.48,19.234468166955182,56.359245768417004
recent questions,100,1985,2002,2003,1220,2009,0.9,14.251104460595696,46.09077174184124
showAnswer,100,1967,1988,2003,1865,2005,1.0,12.685525815045033,44.26282229164024
postAnswer,100,2047,1965,2004,1699,3995,1.0,10.605578534309046,38.091116005143704
post comment,100,2879,2163,3884,2001,3976,0.91,11.2145340361108,72.6407204987664
TOTAL,500,2388,2003,3823,173,3995,0.858,30.463656857369156,120.16407297188205
