Label,# Samples,Average,Median,90% Line,Min,Max,Error %,Throughput,KB/sec
login,10,724,351,2036,85,2036,0.0,3.4746351633078527,11.764218858582348
recent questions,10,725,787,1593,91,1593,0.0,2.8506271379703536,37.00247648232611
showAnswer,10,1031,848,1680,270,1680,0.0,2.38208670795617,31.896699321105284
postAnswer,10,1058,1151,1253,662,1253,0.0,2.71665308340125,49.49402336321651
post comment,10,954,1122,1462,305,1462,0.0,2.860411899313501,64.60061498855835
TOTAL,50,898,848,1605,85,2036,0.0,7.102272727272727,100.22666237571023
