Label,# Samples,Average,Median,90% Line,Min,Max,Error %,Throughput,KB/sec
search: script,20,1104,1239,1941,175,2002,0.05,6.587615283267457,184.1225605237154
search: sdaau,20,1828,1863,2003,1119,2003,0.3,4.496402877697841,106.77815169739208
TOTAL,40,1466,1736,2003,175,2003,0.175,8.144980655670942,210.5366142333537
